ID,CALL,CN,TYPE
DDD44D,F-CEBC,716,Libelle
DDE1F9,F-SDXU,B491,Pegase
DDAC2E,F-CDVW,BP,LS 1-c
DD87A3,F-CFZQ,V44,LS 4
DD527C,D-2878,JZ,LS 3a
DDABBD,F-CEIS,V22,LS 4
D00AFE,OO-YYK,4,Discus
DDE3EC,F-CHGX,S8,pegase
DDE39D,F-CGTN,TN,Marianne
DDAC2C,F-CHUA,UA,Pegase
,F-CFZQ,V55,LS 4
DDA5C7,F-CGYG,YG,LS4
DDEFED,ZS-GCY,JD,JS 1 Revelation
DD9BCA,F-CEBD,1Z,ASW 22/24m
D00DE8,D-KATV,73,js3-18
D00561,F-CIBA,V60,LS 8
DD878A,F-CFZU,V78,LS 4
D00132,F-CVOL,ADx,Ventus 2
3F0348,D-8881,XK,LS 8
DD81A0,F-CLAK,AK,LAK 17/18m
DDE243,D-KHHC,9C,ASG 29/18m
DDD918,F-CKAH,AH,Discus bT
DDE23C,F-CLHA,B1,lak17b
DDA61A,F-CHTU,TU,Duo Discus
DD997A,F-CHAG,P2,ASW 24E
DDEC6E,D-KFIN,V8,Arcus T
DD9BEF,F-CIDJ,SM,Duo Discus
DD8597,F-CFTV,EX,discus
DDF5F,D-6352,5F,LS 8
DDA68B,F-CGDF,HR,Duo Discus
DD8713,D-5574,XXX,Duo Discus
DDF082,F-CGPG,FB1,ASG 29/18m
D009B0,F-CGZX,V92,LS 8
