ID,CALL,CN,TYPE
06DDD44D,F-CEBC,716,Libelle
06DDE1F9,F-SDXU,B491,Pegase
06DDAC2E,F-CDVW,BP,LS 1-c
06DD87A3,F-CFZQ,V44,LS 4
06DD527C,D-2878,JZ,LS 3a
06DDABBD,F-CEIS,V22,LS 4
06D00AFE,OO-YYK,4,Discus
06DDE3EC,F-CHGX,S8,pegase
06DDE39D,F-CGTN,TN,Marianne
06DDAC2C,F-CHUA,UA,Pegase
06DDDDDD,F-CFZQ,V55,LS 4
06DDA5C7,F-CGYG,YG,LS4
06DDEFED,ZS-GCY,JD,JS 1 Revelation
06DD9BCA,F-CEBD,1Z,ASW 22/24m
06D00DE8,D-KATV,73,js3-18
06D00561,F-CIBA,V60,LS 8
06DD878A,F-CFZU,V78,LS 4
06D00132,F-CVOL,ADx,Ventus 2
063F0348,D-8881,XK,LS 8
06DD81A0,F-CLAK,AK,LAK 17/18m
06DDE243,D-KHHC,9C,ASG 29/18m
06DDD918,F-CKAH,AH,Discus bT
06DDE23C,F-CLHA,B1,lak17b
06DDA61A,F-CHTU,TU,Duo Discus
06DD997A,F-CHAG,P2,ASW 24E
06DDEC6E,D-KFIN,V8,Arcus T
06DD9BEF,F-CIDJ,SM,Duo Discus
06DD8597,F-CFTV,EX,discus
06DDF5F,D-6352,5F,LS 8
06DDA68B,F-CGDF,HR,Duo Discus
06DD8713,D-5574,XXX,Duo Discus
06DDF082,F-CGPG,FB1,ASG 29/18m
06D009B0,F-CGZX,V92,LS 8
